"Sequence_Name" "mcg" "gvh" "alm" "mit" "erl" "pox" "vac" "nuc" "Localization_site"
"27" "ADH4_YEAST" 0.59 0.45 0.53 0.19 0.5 0 0.59 0.27 "CYT"
"28" "KAD1_YEAST" 0.57 0.47 0.6 0.18 0.5 0 0.51 0.22 "CYT"
"29" "KAD2_YEAST" 0.63 0.67 0.57 0.24 0.5 0 0.49 0.22 "MIT"
"30" "ADP1_YEAST" 0.8 0.88 0.36 0.39 0.5 0 0.56 0.33 "ME1"
"31" "ADR1_YEAST" 0.53 0.54 0.43 0.1 0.5 0 0.57 0.32 "NUC"
"32" "AFG3_YEAST" 0.51 0.51 0.43 0.87 0.5 0 0.52 0.22 "MIT"
"33" "AFR1_YEAST" 0.38 0.61 0.61 0.12 0.5 0 0.53 0.47 "CYT"
"34" "RCS1_YEAST" 0.33 0.55 0.51 0.43 0.5 0 0.51 0.22 "NUC"
"35" "AGA1_YEAST" 0.78 0.74 0.42 0.26 0.5 0 0.43 0.22 "ME1"
"36" "AGA2_YEAST" 0.74 0.67 0.47 0.34 0.5 0 0.42 0.22 "EXC"
"37" "YMX1_YEAST" 0.72 0.61 0.45 0.3 0.5 0 0.54 0.25 "MIT"
"38" "SYAC_YEAST" 0.4 0.45 0.57 0.18 0.5 0 0.56 0.26 "CYT"
"39" "DHA1_YEAST" 0.59 0.53 0.43 0.44 0.5 0 0.5 0.22 "MIT"
"40" "DHA2_YEAST" 0.57 0.53 0.53 0.34 0.5 0 0.53 0.22 "MIT"
"41" "ALG1_YEAST" 0.86 0.68 0.39 0.24 0.5 0 0.54 0.22 "ME2"
"42" "ALG5_YEAST" 0.86 0.74 0.51 0.4 0.5 0 0.55 0.22 "ME2"
"43" "GPT_YEAST" 0.79 0.57 0.41 0.28 0.5 0 0.59 0.22 "ME2"
"44" "ALG8_YEAST" 0.41 0.54 0.39 0.2 0.5 0 0.51 0.22 "ME3"
"45" "MAN1_YEAST" 0.37 0.36 0.56 0.18 0.5 0 0.48 0.26 "VAC"
"46" "ANC1_YEAST" 0.53 0.31 0.58 0.39 0.5 0 0.47 0.37 "NUC"
"47" "ANP1_YEAST" 0.74 0.75 0.58 0.47 0.5 0 0.4 0.35 "ME2"
"48" "APE2_YEAST" 0.49 0.39 0.52 0.29 0.5 0 0.48 0.22 "EXC"
"49" "APE3_YEAST" 0.74 0.57 0.51 0.28 0.5 0 0.58 0.22 "VAC"
"50" "ALP1_YEAST" 0.42 0.24 0.34 0.16 0.5 0 0.5 0.22 "ME3"
"51" "ADB2_YEAST" 0.48 0.39 0.51 0.21 0.5 0 0.52 0.28 "CYT"
"52" "YHB9_YEAST" 0.41 0.53 0.45 0.14 0.5 0 0.52 0.66 "ME3"
"53" "APN1_YEAST" 0.45 0.46 0.55 0.43 0.5 0 0.55 0.38 "NUC"
"54" "ARD1_YEAST" 0.56 0.48 0.58 0.27 0.5 0 0.51 0.22 "CYT"
"55" "ARF1_YEAST" 0.64 0.59 0.56 0.23 0.5 0 0.46 0.22 "CYT"
"56" "ARF2_YEAST" 0.64 0.56 0.56 0.22 0.5 0 0.45 0.22 "CYT"
"57" "ASSY_YEAST" 0.66 0.62 0.49 0.1 0.5 0 0.49 0.22 "CYT"
"58" "OTC_YEAST" 0.53 0.44 0.51 0.33 0.5 0 0.55 0.22 "CYT"
"59" "ARLY_YEAST" 0.38 0.49 0.53 0.19 0.5 0 0.5 0.22 "CYT"
"60" "AR56_YEAST" 0.45 0.58 0.48 0.67 0.5 0 0.52 0.22 "MIT"
"61" "ARGD_YEAST" 0.43 0.35 0.52 0.52 0.5 0 0.54 0.22 "MIT"
"62" "ARG1_YEAST" 0.37 0.32 0.47 0.18 0.5 0 0.45 0.25 "NUC"
"63" "ARG2_YEAST" 0.48 0.43 0.51 0.32 0.5 0 0.52 0.43 "NUC"
"64" "ARG3_YEAST" 0.41 0.46 0.59 0.19 0.5 0 0.58 0.27 "NUC"
"65" "ARO1_YEAST" 0.54 0.48 0.44 0.08 0.5 0 0.52 0.27 "CYT"
"66" "AROC_YEAST" 0.6 0.47 0.45 0.22 0.5 0 0.51 0.29 "CYT"
"67" "AROF_YEAST" 0.34 0.46 0.57 0.09 0.5 0 0.55 0.22 "CYT"
"68" "AROG_YEAST" 0.48 0.54 0.55 0.12 0.5 0 0.51 0.22 "CYT"
"69" "CHMU_YEAST" 0.47 0.39 0.59 0.15 0.5 0 0.57 0.22 "CYT"
"70" "ASG2_YEAST" 0.81 0.85 0.47 0.37 0.5 0 0.56 0.22 "EXC"
"71" "AST1_YEAST" 0.48 0.42 0.52 0.24 0.5 0 0.56 0.22 "CYT"
"72" "ATE1_YEAST" 0.58 0.51 0.49 0.27 0.5 0 0.57 0.29 "CYT"
"73" "ATM1_YEAST" 0.6 0.5 0.44 0.61 0.5 0 0.47 0.22 "MIT"
"74" "ATPA_YEAST" 0.45 0.55 0.54 0.66 0.5 0 0.47 0.22 "MIT"
"75" "ATPY_YEAST" 0.46 0.49 0.58 0.23 0.5 0 0.44 0.22 "MIT"
"76" "ATPS_YEAST" 0.49 0.42 0.56 0.55 0.5 0 0.42 0.25 "MIT"
"77" "ATPT_YEAST" 0.63 0.53 0.54 0.4 0.5 0 0.5 0.22 "MIT"
"78" "ATPU_YEAST" 0.5 0.54 0.53 0.54 0.5 0 0.51 0.27 "MIT"
"79" "ATPE_YEAST" 0.63 0.57 0.59 0.4 0.5 0 0.38 0.22 "MIT"
"80" "ATPB_YEAST" 0.43 0.57 0.51 0.49 0.5 0 0.48 0.22 "MIT"
"81" "ATPG_YEAST" 0.48 0.45 0.55 0.5 0.5 0 0.53 0.22 "MIT"
"82" "ATPD_YEAST" 0.5 0.58 0.46 0.46 0.5 0 0.46 0.22 "MIT"
"83" "ATPO_YEAST" 0.51 0.54 0.6 0.57 0.5 0 0.58 0.22 "MIT"
"84" "ATP7_YEAST" 0.54 0.52 0.63 0.37 0.5 0 0.46 0.22 "MIT"
"85" "ATP8_YEAST" 0.67 0.62 0.4 0.43 0.5 0.83 0.5 0.22 "MIT"
"86" "ATR1_YEAST" 0.28 0.58 0.21 0.13 0.5 0 0.51 0.22 "ME3"
"87" "YBR8_YEAST" 0.39 0.44 0.35 0.16 0.5 0 0.55 0.22 "ME3"
"88" "BAR1_YEAST" 0.8 0.63 0.45 0.29 0.5 0 0.51 0.22 "EXC"
"89" "BAS1_YEAST" 0.5 0.52 0.59 0.3 0.5 0 0.51 0.35 "NUC"
"90" "BCK1_YEAST" 0.42 0.47 0.52 0.41 0.5 0 0.53 0.32 "CYT"
"91" "BCK2_YEAST" 0.36 0.46 0.62 0.46 0.5 0 0.51 0.33 "CYT"
"92" "BCS1_YEAST" 0.46 0.38 0.47 0.22 0.5 0 0.52 0.27 "MIT"
"93" "KAPR_YEAST" 0.4 0.45 0.56 0.2 0.5 0 0.45 0.22 "CYT"
"94" "BDF1_YEAST" 0.33 0.43 0.64 0.16 0.5 0 0.52 0.52 "NUC"
"95" "BEM1_YEAST" 0.49 0.61 0.49 0.25 0.5 0 0.5 0.28 "CYT"
"96" "BET1_YEAST" 0.38 0.5 0.37 0.26 0.5 0 0.43 0.22 "ME3"
"97" "BGL2_YEAST" 0.69 0.7 0.52 0.36 0.5 0 0.46 0.22 "EXC"
"98" "CYBM_YEAST" 0.61 0.72 0.39 0.33 0.5 0 0.58 0.22 "MIT"
"99" "YMC4_YEAST" 0.78 0.75 0.4 0.28 0.5 0 0.53 0.22 "MIT"
"100" "BIK1_YEAST" 0.64 0.57 0.57 0.27 0.5 0 0.37 0.22 "CYT"
"101" "BOS1_YEAST" 0.36 0.58 0.35 0.24 0.5 0 0.44 0.22 "ME3"
"102" "BSD2_YEAST" 0.36 0.43 0.39 0.12 0.5 0 0.49 0.22 "ME3"
"103" "BUD5_YEAST" 0.47 0.52 0.5 0.4 0.5 0 0.41 0.22 "CYT"
"104" "CAD1_YEAST" 0.48 0.23 0.57 0.27 0.5 0 0.48 0.47 "NUC"
"105" "CAP2_YEAST" 0.47 0.39 0.55 0.24 0.5 0 0.47 0.22 "CYT"
"106" "CAN1_YEAST" 0.44 0.59 0.36 0.16 0.5 0 0.52 0.22 "ME3"
"107" "CAPA_YEAST" 0.42 0.35 0.54 0.18 0.5 0 0.56 0.22 "CYT"
"108" "CAPB_YEAST" 0.3 0.56 0.55 0.18 0.5 0 0.5 0.22 "CYT"
"109" "ARGI_YEAST" 0.65 0.65 0.52 0.16 0.5 0 0.6 0.22 "CYT"
"110" "OAT_YEAST" 0.27 0.6 0.48 0.23 0.5 0 0.55 0.22 "CYT"
"111" "CACP_YEAST" 0.45 0.41 0.5 0.46 0.5 0.5 0.5 0.27 "POX"
"112" "CAT8_YEAST" 0.44 0.52 0.41 0.23 0.5 0 0.51 0.22 "NUC"
"113" "CBF1_YEAST" 0.3 0.32 0.57 0.19 0.5 0 0.48 0.55 "NUC"
"114" "CB32_YEAST" 0.4 0.44 0.49 0.47 0.5 0 0.49 0.27 "NUC"
"115" "CBF5_YEAST" 0.45 0.51 0.5 0.16 0.5 0 0.52 1 "NUC"
"116" "CBP1_YEAST" 0.45 0.45 0.5 0.6 0.5 0 0.49 0.22 "MIT"
"117" "CBP2_YEAST" 0.59 0.67 0.56 0.41 0.5 0 0.47 0.22 "MIT"
"118" "CBP3_YEAST" 0.47 0.47 0.57 0.48 0.5 0 0.48 0.22 "MIT"
"119" "CBP4_YEAST" 0.35 0.52 0.48 0.22 0.5 0 0.26 0.22 "MIT"
"120" "CBP6_YEAST" 0.47 0.41 0.66 0.26 0.5 0 0.53 0.22 "MIT"
"121" "NC5R_YEAST" 0.64 0.62 0.29 0.28 0.5 0 0.51 0.22 "MIT"
"122" "CBS1_YEAST" 0.55 0.53 0.55 0.46 0.5 0 0.52 0.22 "MIT"
"123" "CBS2_YEAST" 0.67 0.62 0.54 0.43 0.5 0 0.53 0.22 "MIT"
"124" "TNT_YEAST" 0.59 0.6 0.49 0.43 0.5 0 0.53 0.31 "MIT"
"125" "ATU1_YEAST" 0.54 0.55 0.34 0.31 0.5 0 0.54 0.22 "ME3"
"126" "CCE1_YEAST" 0.58 0.62 0.54 0.17 0.5 0 0.48 0.22 "MIT"
"127" "CCL1_YEAST" 0.4 0.38 0.53 0.16 0.5 0 0.52 0.27 "NUC"
"128" "CCPR_YEAST" 0.46 0.71 0.48 0.53 0.5 0 0.53 0.22 "MIT"
"129" "CCR4_YEAST" 0.53 0.51 0.55 0.05 0.5 0 0.45 0.25 "NUC"
"130" "CTPT_YEAST" 0.41 0.4 0.59 0.47 0.5 0 0.48 0.43 "CYT"
"131" "CC10_YEAST" 0.5 0.64 0.57 0.15 0.5 0 0.47 0.22 "CYT"
"132" "CC11_YEAST" 0.4 0.62 0.52 0.31 0.5 0 0.49 0.31 "CYT"
"133" "CC12_YEAST" 0.6 0.5 0.57 0.25 0.5 0 0.41 0.26 "CYT"
"134" "CC16_YEAST" 0.62 0.51 0.52 0.42 0.5 0 0.54 0.27 "NUC"
"135" "CC23_YEAST" 0.35 0.58 0.54 0.16 0.5 0 0.51 0.22 "NUC"
"136" "CC24_YEAST" 0.34 0.54 0.5 0.21 0.5 0 0.54 0.31 "CYT"
"137" "CC25_YEAST" 0.39 0.58 0.5 0.26 0.5 0 0.54 0.59 "ME3"
"138" "CC27_YEAST" 0.48 0.54 0.5 0.17 0.5 0 0.53 0.22 "NUC"
"139" "CDC3_YEAST" 0.29 0.32 0.58 0.15 0.5 0 0.5 0.3 "CYT"
"140" "CC31_YEAST" 0.47 0.32 0.64 0.3 0.5 0 0.63 0.22 "NUC"
"141" "IF4E_YEAST" 0.39 0.47 0.56 0.16 0.5 0 0.47 0.22 "CYT"
"142" "UBC3_YEAST" 0.58 0.48 0.51 0.47 0.5 0 0.55 0.22 "NUC"
"143" "NOT2_YEAST" 0.64 0.6 0.57 0.19 0.5 0 0.43 0.22 "NUC"
"144" "NOT1_YEAST" 0.37 0.46 0.4 0.27 0.5 0 0.45 0.22 "NUC"
"145" "CC4_YEAST" 0.43 0.57 0.53 0.16 0.5 0 0.54 0.22 "CYT"
"146" "CC40_YEAST" 0.28 0.37 0.61 0.09 0.5 0 0.52 0.55 "NUC"
"147" "CC42_YEAST" 0.59 0.48 0.5 0.14 0.5 0 0.45 0.25 "CYT"
"148" "CAL1_YEAST" 0.39 0.55 0.48 0.31 0.5 0 0.54 0.29 "CYT"
"149" "RFC1_YEAST" 0.26 0.36 0.47 0.34 0.5 0 0.53 0.72 "NUC"
"150" "CC46_YEAST" 0.51 0.34 0.5 0.19 0.5 0 0.5 0.22 "NUC"
"151" "YB52_YEAST" 0.58 0.5 0.5 0.12 0.5 0 0.48 0.25 "NUC"
"152" "CC48_YEAST" 0.44 0.39 0.53 0.14 0.5 0 0.54 0.44 "CYT"
"153" "CC6_YEAST" 0.41 0.39 0.44 0.34 0.5 0 0.48 0.4 "NUC"
"154" "SYLC_YEAST" 0.45 0.43 0.51 0.24 0.5 0 0.54 0.33 "CYT"
"155" "CC68_YEAST" 0.36 0.68 0.46 0.16 0.5 0 0.53 0.28 "NUC"
"156" "CC7_YEAST" 0.42 0.31 0.5 0.15 0.5 0 0.53 0.22 "NUC"
"157" "KTHY_YEAST" 0.42 0.43 0.56 0.1 0.5 0 0.49 0.22 "CYT"
"158" "DNLI_YEAST" 0.67 0.71 0.52 0.65 0.5 0 0.53 0.36 "NUC"
"159" "MCE1_YEAST" 0.49 0.47 0.53 0.16 0.5 0 0.48 0.27 "NUC"
"160" "CEM1_YEAST" 0.71 0.59 0.48 0.43 0.5 0 0.59 0.22 "MIT"
"161" "RLUB_YEAST" 0.4 0.42 0.71 0.21 0.5 0 0.54 0.32 "CYT"
"162" "RLUB_YEAST" 0.4 0.42 0.71 0.21 0.5 0 0.54 0.32 "CYT"
"163" "CLH_YEAST" 0.54 0.49 0.49 0.2 0.5 0 0.52 0.22 "CYT"
"164" "CHL1_YEAST" 0.42 0.51 0.5 0.12 0.5 0 0.52 0.46 "NUC"
"165" "CHL4_YEAST" 0.57 0.51 0.53 0.18 0.5 0 0.56 0.25 "NUC"
"166" "PSS_YEAST" 0.35 0.45 0.43 0.11 0.5 0 0.56 0.22 "ME3"
"167" "PEM1_YEAST" 0.42 0.42 0.42 0.2 0.5 0 0.49 0.22 "ME3"
"168" "CHS1_YEAST" 0.26 0.5 0.33 0.28 0.5 0 0.51 0.22 "ME3"
"169" "CHS2_YEAST" 0.39 0.42 0.38 0.4 0.5 0 0.49 0.47 "ME3"
"170" "CHS3_YEAST" 0.26 0.44 0.3 0.11 0.5 0 0.51 0.47 "ME3"
"171" "CIK1_YEAST" 0.31 0.44 0.53 0.23 0.5 0 0.51 0.32 "NUC"
"172" "CIN1_YEAST" 0.48 0.61 0.44 0.2 0.5 0 0.47 0.22 "CYT"
"173" "CIN4_YEAST" 0.66 0.45 0.5 0.23 0.5 0 0.49 0.22 "CYT"
"174" "CIN8_YEAST" 0.21 0.41 0.55 0.11 0.5 0 0.5 0.27 "CYT"
"175" "CISY_YEAST" 0.38 0.68 0.44 0.45 0.5 0 0.53 0.22 "MIT"
"176" "CISZ_YEAST" 0.44 0.38 0.48 0.32 0.5 0.83 0.53 0.22 "POX"
"177" "KC21_YEAST" 0.31 0.31 0.56 0.33 0.5 0 0.52 0.33 "NUC"
"178" "KC22_YEAST" 0.49 0.31 0.49 0.35 0.5 0 0.51 0.29 "NUC"
"179" "KC2C_YEAST" 0.38 0.37 0.56 0.21 0.5 0 0.49 0.22 "NUC"
"180" "KICH_YEAST" 0.39 0.4 0.53 0.67 0.5 0 0.47 0.22 "CYT"
"181" "CLC1_YEAST" 0.24 0.34 0.69 0.18 0.5 0 0.52 0.22 "CYT"
"182" "CG11_YEAST" 0.49 0.43 0.51 0.13 0.5 0 0.47 0.22 "CYT"
"183" "CG12_YEAST" 0.54 0.38 0.52 0.18 0.5 0 0.48 0.22 "CYT"
"184" "CG13_YEAST" 0.43 0.57 0.53 0.53 0.5 0 0.53 0.25 "CYT"
"185" "CALM_YEAST" 0.48 0.64 0.61 0.23 0.5 0 0.6 0.22 "CYT"
"186" "KCC1_YEAST" 0.31 0.55 0.52 0.17 0.5 0 0.52 0.22 "CYT"
"187" "KCC2_YEAST" 0.32 0.57 0.5 0.15 0.5 0 0.53 0.22 "CYT"
"188" "P2B1_YEAST" 0.32 0.42 0.52 0.24 0.5 0 0.6 0.22 "CYT"
"189" "P2B2_YEAST" 0.59 0.5 0.52 0.28 0.5 0 0.55 0.25 "CYT"
"190" "CALB_YEAST" 0.37 0.42 0.51 0.11 0.5 0 0.57 0.22 "CYT"
"191" "CALX_YEAST" 0.75 0.7 0.38 0.27 0.5 0 0.49 0.22 "ME1"
"192" "CYB_YEAST" 0.61 0.72 0.31 0.33 0.5 0 0.56 0.22 "MIT"
"193" "COFI_YEAST" 0.44 0.42 0.6 0.21 0.5 0 0.57 0.22 "CYT"
"194" "COQ1_YEAST" 0.52 0.51 0.51 0.54 0.5 0 0.55 0.27 "MIT"
"195" "COQ2_YEAST" 0.63 0.56 0.45 0.58 0.5 0 0.51 0.22 "MIT"
"196" "COQ3_YEAST" 0.52 0.56 0.54 0.53 0.5 0 0.45 0.22 "MIT"
"197" "UCR1_YEAST" 0.58 0.58 0.58 0.49 0.5 0 0.49 0.26 "MIT"
"198" "COT1_YEAST" 0.72 0.62 0.34 0.29 0.5 0 0.56 0.28 "MIT"
"199" "COX1_YEAST" 0.72 0.61 0.37 0.3 0.5 0 0.57 0.22 "MIT"
"200" "COXX_YEAST" 0.46 0.43 0.38 0.33 0.5 0 0.48 0.28 "MIT"
"201" "COXZ_YEAST" 0.57 0.57 0.44 0.37 0.5 0 0.52 0.25 "MIT"
"202" "COXG_YEAST" 0.42 0.31 0.62 0.12 0.5 0 0.4 0.22 "MIT"
"203" "COXE_YEAST" 0.49 0.46 0.45 0.45 0.5 0 0.52 0.22 "MIT"
"204" "YEX1_YEAST" 0.42 0.58 0.41 0.65 0.5 0 0.46 0.26 "MIT"
"205" "COX2_YEAST" 0.59 0.61 0.34 0.22 0.5 0 0.51 0.22 "MIT"
"206" "COX3_YEAST" 0.52 0.77 0.38 0.34 0.5 0 0.51 0.22 "MIT"
"207" "COX4_YEAST" 0.5 0.52 0.6 0.51 0.5 0 0.48 0.22 "MIT"
"208" "COXA_YEAST" 0.49 0.6 0.43 0.56 0.5 0 0.36 0.22 "MIT"
"209" "COXB_YEAST" 0.5 0.41 0.44 0.5 0.5 0 0.42 0.22 "MIT"
"210" "COX6_YEAST" 0.5 0.4 0.56 0.7 0.5 0 0.5 0.22 "MIT"
"211" "COX7_YEAST" 0.37 0.58 0.44 0.51 0.5 0 0.44 0.22 "MIT"
"212" "COX8_YEAST" 0.55 0.45 0.45 0.54 0.5 0 0.5 0.22 "MIT"
"213" "COX9_YEAST" 0.67 0.68 0.46 0.29 0.5 0 0.46 0.22 "MIT"
"214" "CARA_YEAST" 0.53 0.51 0.46 0.28 0.5 0 0.48 0.22 "CYT"
"215" "CARB_YEAST" 0.35 0.66 0.49 0.21 0.5 0 0.54 0.25 "CYT"
"216" "CYPH_YEAST" 0.52 0.4 0.6 0.12 0.5 0 0.55 0.22 "CYT"
"217" "CYPB_YEAST" 0.77 0.79 0.58 0.23 0.5 0 0.48 0.22 "EXC"
"218" "CYPC_YEAST" 0.47 0.46 0.59 0.49 0.5 0 0.56 0.22 "MIT"
"219" "CYPR_YEAST" 0.73 0.83 0.43 0.3 0.5 0 0.55 0.22 "ME1"
"220" "CYPD_YEAST" 0.78 0.74 0.58 0.25 1 0 0.53 0.22 "ERL"
"221" "CBPS_YEAST" 0.7 0.65 0.54 0.28 0.5 0 0.6 0.4 "VAC"
"222" "CPT1_YEAST" 0.47 0.54 0.37 0.14 0.5 0 0.5 0.22 "ME3"
"223" "CRM1_YEAST" 0.56 0.52 0.48 0.17 0.5 0 0.46 0.22 "NUC"
"224" "R141_YEAST" 0.57 0.41 0.59 0.24 0.5 0 0.4 0.22 "CYT"
"225" "R142_YEAST" 0.56 0.41 0.58 0.21 0.5 0 0.42 0.22 "CYT"
"226" "CSE1_YEAST" 0.58 0.56 0.45 0.12 0.5 0 0.51 0.22 "NUC"
"227" "CSE2_YEAST" 0.53 0.38 0.66 0.25 0.5 0 0.43 0.22 "NUC"
"228" "YKE9_YEAST" 0.34 0.36 0.54 0.11 0.5 0 0.36 0.21 "NUC"
"229" "CSG2_YEAST" 0.69 0.61 0.38 0.27 0.5 0 0.52 0.22 "ME2"
"230" "CATA_YEAST" 0.37 0.53 0.6 0.19 0.5 0.5 0.42 0.22 "POX"
"231" "CB33_YEAST" 0.41 0.45 0.53 0.17 0.5 0 0.51 0.25 "NUC"
"232" "CTK1_YEAST" 0.31 0.46 0.54 0.52 0.5 0 0.5 0.34 "NUC"
"233" "CTR1_YEAST" 0.36 0.37 0.33 0.14 0.5 0 0.57 0.31 "ME3"
"234" "CHI1_YEAST" 0.82 0.78 0.49 0.23 0.5 0 0.46 0.22 "EXC"
"235" "CHI2_YEAST" 0.82 0.75 0.54 0.23 0.5 0 0.46 0.22 "EXC"
"236" "CATT_YEAST" 0.41 0.51 0.58 0.15 0.5 0 0.45 0.27 "CYT"
"237" "MTC_YEAST" 0.38 0.51 0.75 0.17 0.5 0 0.55 0.22 "CYT"
"238" "MTC_YEAST" 0.38 0.51 0.75 0.17 0.5 0 0.55 0.22 "CYT"
"239" "CYB2_YEAST" 0.53 0.44 0.51 0.33 0.5 0 0.52 0.22 "MIT"
"240" "CYC1_YEAST" 0.46 0.54 0.71 0.15 0.5 0 0.59 0.22 "MIT"
"241" "CYC2_YEAST" 0.4 0.56 0.48 0.14 0.5 0 0.47 0.22 "MIT"
"242" "CCHL_YEAST" 0.53 0.53 0.6 0.13 0.5 0 0.49 0.22 "MIT"
"243" "CYC7_YEAST" 0.42 0.57 0.72 0.22 0.5 0 0.57 0.22 "MIT"
"244" "RL2A_YEAST" 0.45 0.27 0.57 0.36 0.5 0 0.52 0.18 "CYT"
"245" "CYAA_YEAST" 0.2 0.26 0.52 0.14 0.5 0 0.53 0.44 "CYT"
"246" "CYS3_YEAST" 0.51 0.53 0.55 0.14 0.5 0 0.51 0.22 "CYT"
"247" "CY1_YEAST" 0.44 0.68 0.45 0.51 0.5 0 0.52 0.41 "MIT"
"248" "CYT2_YEAST" 0.27 0.39 0.66 0.11 0.5 0 0.44 0.22 "MIT"
"249" "DAL4_YEAST" 0.55 0.42 0.34 0.3 0.5 0 0.52 0.22 "ME3"
"250" "DAL5_YEAST" 0.34 0.42 0.3 0.23 0.5 0 0.53 0.22 "ME3"
"251" "MASZ_YEAST" 0.44 0.53 0.52 0.23 0.5 0.83 0.51 0.22 "POX"
"252" "DA80_YEAST" 0.59 0.58 0.56 0.21 0.5 0 0.54 0.33 "NUC"
"253" "DA81_YEAST" 0.39 0.28 0.46 0.12 0.5 0 0.41 0.22 "NUC"
"254" "DA82_YEAST" 0.56 0.43 0.54 0.16 0.5 0 0.5 0.22 "NUC"
"255" "DAP2_YEAST" 0.36 0.68 0.38 0.08 0.5 0 0.53 0.25 "VAC"
"256" "DATI_YEAST" 0.27 0.36 0.6 0.33 0.5 0 0.37 0.31 "NUC"
"257" "DBF4_YEAST" 0.35 0.4 0.59 0.22 0.5 0 0.47 0.37 "NUC"
"258" "DBP1_YEAST" 0.42 0.32 0.5 0.21 0.5 0 0.51 0.22 "NUC"
"259" "DBP2_YEAST" 0.23 0.2 0.53 0.2 0.5 0 0.44 0.22 "NUC"
"260" "DBR1_YEAST" 0.55 0.54 0.56 0.22 0.5 0 0.5 0.37 "NUC"
"261" "DED1_YEAST" 0.36 0.24 0.49 0.16 0.5 0 0.51 0.22 "NUC"
"262" "DEP1_YEAST" 0.38 0.48 0.59 0.22 0.5 0 0.46 0.22 "CYT"
"263" "DYR_YEAST" 0.8 0.46 0.5 0.15 0.5 0 0.53 0.22 "CYT"
"264" "DYHC_YEAST" 0.6 0.56 0.47 0.2 0.5 0 0.5 0.38 "NUC"
"265" "DHH1_YEAST" 0.41 0.24 0.54 0.26 0.5 0 0.41 0.22 "NUC"
"266" "DLD1_YEAST" 0.47 0.65 0.54 0.62 0.5 0 0.53 0.36 "MIT"
"267" "DMC1_YEAST" 0.43 0.39 0.54 0.14 0.5 0 0.47 0.22 "NUC"
"268" "DPB2_YEAST" 0.5 0.51 0.52 0.09 0.5 0 0.48 0.25 "NUC"
"269" "DPB3_YEAST" 0.53 0.61 0.52 0.21 0.5 0 0.55 0.3 "NUC"
"270" "DPM1_YEAST" 0.54 0.42 0.41 0.16 0.5 0 0.52 0.22 "ME2"
"271" "SYDC_YEAST" 0.46 0.35 0.53 0.16 0.5 0 0.51 0.29 "CYT"
"272" "DRS1_YEAST" 0.46 0.43 0.49 0.79 0.5 0 0.49 0.63 "NUC"
"273" "ATC4_YEAST" 0.51 0.55 0.35 0.16 0.5 0 0.51 0.47 "ME3"
"274" "DSS4_YEAST" 0.56 0.52 0.55 0.19 0.5 0 0.54 0.22 "CYT"
